entity_id,canonical_name,role,era,region
E001,"William III of England",King,"1650–1702",England/Netherlands
E002,"Alexander II of Russia",Emperor,"1818–1881",Russia
E003,"Alexander I of Russia",Emperor,"1777–1825",Russia
E004,"William I of England",King,"1028–1087",England
E005,"Catherine de' Medici",Queen,"1519–1589",France
E006,"Philip IV of Spain",King,"1605–1665",Spain
E007,"Henry VIII of England",King,"1491–1547",England
E008,"Ivan IV of Russia",Tsar,"1530–1584",Russia
E009,"Philip II of Spain",King,"1527–1598",Spain
E010,"George I of Greece",King,"1845–1913",Greece
E011,"Alexander the Great",King/Conqueror,"356–323 BC",Macedonia
E012,"John II of Castile",King,"1405–1454",Castile
E013,"Catherine the Great",Empress,"1729–1796",Russia
E014,"Louis XIV of France",King,"1638–1715",France
E015,"Peter III of Russia",Emperor,"1728–1762",Russia
E016,"Frederick the Great",King,"1712–1786",Prussia
E017,"Peter the Great",Tsar/Emperor,"1672–1725",Russia
E018,"George III of Britain",King,"1738–1820",Great Britain
E019,"Frederick I of Prussia",King,"1657–1713",Prussia
