Store_ID,Customer_Satisfaction_Score
LOC-001,78.33
LOC-002,86.50
LOC-003,76.42
LOC-004,76.76
LOC-005,69.55
LOC-006,100.00
LOC-007,74.22
LOC-008,71.26
LOC-009,82.26
LOC-010,82.61
LOC-011,73.88
LOC-012,66.20
LOC-013,77.82
LOC-014,77.28
LOC-015,77.59
LOC-016,70.25
LOC-017,75.70
LOC-018,74.96
LOC-019,82.69
LOC-020,79.14
LOC-021,72.16
LOC-022,67.57
LOC-023,85.73
LOC-024,79.61
LOC-025,75.52
LOC-026,73.90
LOC-027,70.09
LOC-028,74.08
LOC-029,86.32
LOC-030,95.06
LOC-031,77.52
LOC-032,70.92
LOC-033,80.02
LOC-034,72.73
LOC-035,92.64
LOC-036,77.42
LOC-037,82.24
LOC-038,80.34
LOC-039,77.85
LOC-040,70.22
LOC-041,77.37
LOC-042,74.88
LOC-043,77.73
LOC-044,83.31
LOC-045,81.71
LOC-046,81.53
LOC-047,80.64
LOC-048,78.10
LOC-049,72.66
LOC-050,89.02
LOC-051,78.78
LOC-052,75.12
LOC-053,80.85
LOC-054,79.03
LOC-055,78.42
LOC-056,87.97
LOC-057,61.38
LOC-058,83.55
LOC-059,79.38
LOC-060,98.41
LOC-061,76.72
LOC-062,80.05
LOC-063,80.33
LOC-064,74.42
LOC-065,80.54
LOC-066,91.37
LOC-067,80.48
LOC-068,76.16
LOC-069,82.87
LOC-070,81.53
LOC-071,79.16
LOC-072,76.46
LOC-073,76.54
LOC-074,88.37
LOC-075,84.95
LOC-076,75.28
LOC-077,76.69
LOC-078,82.40
LOC-079,72.41
LOC-080,73.89
LOC-081,100.00
LOC-082,74.88
LOC-083,73.34
LOC-084,74.81
LOC-085,77.71
LOC-086,71.36
LOC-087,75.57
LOC-088,78.22
LOC-089,77.34
LOC-090,87.81
LOC-091,66.31
LOC-092,71.54
LOC-093,82.54
LOC-094,85.88
LOC-095,84.36
LOC-096,77.21
LOC-097,73.27
LOC-098,74.91
LOC-099,77.89
